Individual_number,Species,Locality,Year,Month,Data,Total_length_mm,Weight_g,Sampling_site,Lat,Long,Protective_regime,Proximity_human_settlements
109,Phorcus mariae,Cape verde,2017,7,01/07/2017,15.05,1.27,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
110,Phorcus mariae,Cape verde,2017,7,01/07/2017,14.69,1.06,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
111,Phorcus mariae,Cape verde,2017,7,01/07/2017,15.23,1.42,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
112,Phorcus mariae,Cape verde,2017,7,01/07/2017,13.8,0.99,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
113,Phorcus mariae,Cape verde,2017,7,01/07/2017,15.08,1.28,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
114,Phorcus mariae,Cape verde,2017,7,01/07/2017,17.76,2.29,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
115,Phorcus mariae,Cape verde,2017,7,01/07/2017,15.5,1.36,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
116,Phorcus mariae,Cape verde,2017,7,01/07/2017,16.11,1.57,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
117,Phorcus mariae,Cape verde,2017,7,01/07/2017,15.12,1.43,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
118,Phorcus mariae,Cape verde,2017,7,01/07/2017,15.39,1.36,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
119,Phorcus mariae,Cape verde,2017,7,01/07/2017,14.77,1.26,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
120,Phorcus mariae,Cape verde,2017,7,01/07/2017,14.16,0.99,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
121,Phorcus mariae,Cape verde,2017,7,01/07/2017,16.39,1.23,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
122,Phorcus mariae,Cape verde,2017,7,01/07/2017,15.28,1.29,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
123,Phorcus mariae,Cape verde,2017,7,01/07/2017,17.97,2.09,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
124,Phorcus mariae,Cape verde,2017,7,01/07/2017,17.87,2.29,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
125,Phorcus mariae,Cape verde,2017,7,01/07/2017,15.67,1.43,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
126,Phorcus mariae,Cape verde,2017,7,01/07/2017,14.13,1.08,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
